state,district_as_per_source,district_as_per_lgd,district_lgd_code,notes
Kerala,Pathanamthitta,Pathanamthitta,564,
Kerala,Thiruvananthapuram,Thiruvananthapuram,565,
Kerala,Thrissur,Thrissur,566,
Kerala,Wayanad,Wayanad,567,
Ladakh,Kargil,Kargil,6,
Ladakh,Leh,Leh Ladakh,9,
Ladakh,Leh Ladakh,Leh Ladakh,9,
Lakshadweep,Lakshadweep,Lakshadweep District,553,
Lakshadweep,Lakshadweep District,Lakshadweep District,553,
Madhya Pradesh,Annupur,Anuppur,390,
Madhya Pradesh,Anuppur,Anuppur,390,
Madhya Pradesh,Ashok Nagar,Ashoknagar,391,
Madhya Pradesh,Ashoknagar,Ashoknagar,391,
Madhya Pradesh,Balaghat,Balaghat,392,
Madhya Pradesh,Barwani,Barwani,393,
Madhya Pradesh,Betul,Betul,394,
Madhya Pradesh,Bhind,Bhind,395,
Madhya Pradesh,Bhopal,Bhopal,396,
Madhya Pradesh,Burhanpur,Burhanpur,397,
Madhya Pradesh,Chhatarpur,Chhatarpur,398,
Madhya Pradesh,Chhindwara,Chhindwara,399,
Madhya Pradesh,Damoh,Damoh,400,
Madhya Pradesh,Datia,Datia,401,
Madhya Pradesh,Dewas,Dewas,402,
Madhya Pradesh,Dhar,Dhar,403,
Madhya Pradesh,Dindori,Dindori,404,
Madhya Pradesh,East Nimar,Khandwa (East Nimar),405,
Madhya Pradesh,East Nimar(Khandwa),Khandwa (East Nimar),405,
Madhya Pradesh,Khandwa,Khandwa (East Nimar),405,
Madhya Pradesh,Khandwa (East Nimar),Khandwa (East Nimar),405,
Madhya Pradesh,Khandwa(East Nimar),Khandwa (East Nimar),405,
Madhya Pradesh,Guna,Guna,406,
Madhya Pradesh,Gwalior,Gwalior,407,
Madhya Pradesh,Harda,Harda,408,
Madhya Pradesh,Hoshangabad,Narmadapuram,409,
Madhya Pradesh,Narmadapuram,Narmadapuram,409,
Madhya Pradesh,Indore,Indore,410,
Madhya Pradesh,Jabalpur,Jabalpur,411,
Madhya Pradesh,Jhabua,Jhabua,412,
Madhya Pradesh,Katni,Katni,413,
Madhya Pradesh,Khargone,Khargone (West Nimar),414,
Madhya Pradesh,Khargone (West Nimar),Khargone (West Nimar),414,
Madhya Pradesh,Khargone(West Nimar),Khargone (West Nimar),414,
Madhya Pradesh,West Nimar,Khargone (West Nimar),414,
Madhya Pradesh,Mandla,Mandla,415,
Madhya Pradesh,Mandsaur,Mandsaur,416,
Madhya Pradesh,Morena,Morena,417,
Madhya Pradesh,Narsimhapur,Narsimhapur,418,
Madhya Pradesh,Narsinghpur,Narsimhapur,418,
Madhya Pradesh,Neemuch,Neemuch,419,
Madhya Pradesh,Nimach,Neemuch,419,
Madhya Pradesh,Panna,Panna,420,
Madhya Pradesh,Raisen,Raisen,421,
Madhya Pradesh,Rajgarh,Rajgarh,422,
Madhya Pradesh,Ratlam,Ratlam,423,
Madhya Pradesh,Rewa,Rewa,424,
Madhya Pradesh,Sagar,Sagar,425,
Madhya Pradesh,Satna,Satna,426,
Madhya Pradesh,Sehore,Sehore,427,
Madhya Pradesh,Seoni,Seoni,428,
Madhya Pradesh,Shahdol,Shahdol,429,
Madhya Pradesh,Shajapur,Shajapur,430,
Madhya Pradesh,Sheopur,Sheopur,431,
Madhya Pradesh,Shivpuri,Shivpuri,432,
Madhya Pradesh,Sidhi,Sidhi,433,
Madhya Pradesh,Tikamgarh,Tikamgarh,434,
Madhya Pradesh,Ujjain,Ujjain,435,
Madhya Pradesh,Umaria,Umaria,436,
Madhya Pradesh,Vidisha,Vidisha,437,
Madhya Pradesh,Singrauli,Singrauli,638,
Madhya Pradesh,Alirajpur,Alirajpur,639,
Madhya Pradesh,Agar-Malwa,Agar-Malwa,667,
Madhya Pradesh,Niwari,Niwari,722,
Madhya Pradesh,Mauganj,Mauganj,766,
Madhya Pradesh,Maihar,Maihar,784,
Madhya Pradesh,Pandhurna,Pandhurna,785,
Madhya Pradesh,Kabirdham,Kabirdham,,
Maharashtra,Aurangabad,Aurangabad,189,
Maharashtra,Ahilyanagar,Ahilyanagar,466,
Maharashtra,Ahmadnagar,Ahilyanagar,466,
Maharashtra,Ahmednagar,Ahilyanagar,466,
Maharashtra,Akola,Akola,467,
Maharashtra,Amravati,Amravati,468,
Maharashtra,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,469,
Maharashtra,Beed,Beed,470,
Maharashtra,Bid,Beed,470,
Maharashtra,Bid/Beed,Beed,470,
Maharashtra,Bhandara,Bhandara,471,
Maharashtra,Buldana,Buldhana,472,
Maharashtra,Buldhana,Buldhana,472,
